Reykjanes_Peninsula	63.890	-22.270	300	21.4	28.8	0	32.1	17.3	0	0	1.2	21.3	44	54.8	0	23.6	7.5	47	32.9	909.3	116.2	158.4	387.5	56.7
Spurr	61.296	-152.251	3374	24.1	44	10.9	0	85.4	5.1	6.5	0	2.6	2.1	0	1.6	0	0.8	3.5	2.2	3.3	0	0.7	3.1	7
Redoubt	60.485	-152.749	3108	11	0	0	0	924	34	7.8	17.5	0	0	0	7.6	0	3.9	13.5	1.5	10.3	7.5	6.6	5.9	2.2
Augustine	59.345	-153.453	1252	0	171.4	14.4	0	1.5	2.7	0	20.5	1.3	8.3	24.5	8	0	6.3	2.4	7.3	5	3.1	3.9	6.9	3.5
Chiginagak	57.135	-156.990	2000	61.9	129.6	77.3	46.7	63.3	16.2	4.4	13.3	4.9	42.1	27.2	16.4	16.4	6.9	20.3	35.9	26.9	11.3	8.1	11.6	17.9
Shiveluch	56.644	161.343	3283	74.2	43.3	194.3	88	104.2	287.4	155.8	134.1	180.2	202	121.6	303.6	260.1	174.4	181	143.2	98.4	240.4	326.5	231.6	348.5
Veniaminof	56.170	-159.380	2507	21.8	121.3	115.1	162.7	2.4	62.3	122.6	0	228.7	39	3.3	19.1	0	144.6	12	3.6	21.8	13	1.8	4.7	1.7
Kliuchevskoi	56.057	160.638	4835	112.5	82.6	428.5	44.9	63.7	605.7	239.8	185.4	402.3	73.1	189.6	548	425.3	80.7	221	231.3	41.2	174.7	254.1	266.9	315.7
Pavlof	55.414	-161.890	2490	20.2	9.2	52.4	0	75.8	41.4	0	36.1	79.3	11.8	5	211.5	147.7	69.2	45.5	39.8	28.1	32.6	0	0.6	0.1
Kizimenk	55.119	160.360	2376	0	0	23.5	8	0	81.7	1641.5	413.5	377.6	116.3	46	122.9	111.4	17.3	26.3	47.9	0.7	43.5	44	75.1	20.2
Shishaldin	54.756	-163.970	2857	5	177.6	88.9	109.5	201.6	17.4	3.7	3.4	178	287.2	229.9	46.4	85.1	11.3	29.6	40.1	7.8	9.8	124.8	68.3	165.1
Karymsky	54.050	159.450	1536	209.5	258.3	187.9	422.6	117.4	144.8	340	275.3	311	406.9	235.3	59.4	170.2	91.7	119.1	121.1	266.6	48.4	56.3	110.7	34.5
Makushin	53.884	-166.932	2036	0	35.4	5.4	88.6	0	11.1	13.8	5.5	32.5	10.5	0	29.4	67	44.2	38.7	42	35.1	49	24.6	30.8	27.4
Avachinsky	53.254	158.831	2741	119	122	70.3	138.2	538.3	183.1	207.8	69.3	104.8	564.9	144.4	0	133.8	59.2	43.1	71.2	42.8	55.5	42.7	59.5	45.1
Tana	52.830	-169.770	1170	139.9	55.2	58.7	82.3	0	29.9	105.2	0	128.4	7.6	91.3	116.2	42.1	42.6	56.8	1.1	53.5	66.4	16.5	9.7	31.1
Mutnovsky	52.453	158.195	2322	338.1	173	37.2	196.7	353.3	871.5	370.8	180.3	185.6	119.6	83.9	1.8	31.6	185.4	71.8	112.6	272	240.6	95.9	164.3	243.3
Korovin	52.381	-174.154	1533	8.1	108.4	153.5	0	157	0	40.6	0	31.1	121	34.2	109.8	0	11.1	40.1	17.8	14.3	42.2	46.9	32.5	16.1
Gareloi	51.790	-178.794	1573	3.1	32.3	60.6	17.8	8.2	18.5	41.3	18.2	39	18.2	19.4	34.4	46.9	28.4	12.3	18.5	10.3	55.8	15.8	72.3	41.1
Ebeko	50.689	156.017	1030	131.3	81.7	135.6	115.1	130.2	108.9	110.2	64.2	80.8	15.6	113	202.8	154	202.2	135.1	96.7	89.2	140.5	74.4	17.6	8
Chikurachki	50.325	155.458	1816	202	26.3	670.3	313.3	153.6	183.3	140.8	102.3	152.6	71.7	269	337.7	146.8	214.1	219.9	191.3	215.6	225.6	158.9	43.9	6
Sarychev	48.080	153.210	1200	51.2	6.7	57.2	83.4	309.6	214.6	42.6	53.5	45.8	32.8	7.8	0	36.2	65.8	20.3	47.3	11.1	24.2	20.9	13.2	18.9
Ketoy_Island	47.340	152.480	870	45.5	0	28.1	51.3	168.9	32.4	0	78.2	43.3	55	40.2	31.2	46.3	16.1	25.8	24.9	22	41.5	23.9	41.6	28.1
Medvezhia	45.387	148.843	1125	69.2	27	84.3	65.8	75.9	40.2	48.1	51.4	83.9	65.1	56	68.7	153.4	55.1	72.1	65.4	94.3	57.7	55.2	22.7	89.9
Tokachi	43.416	142.690	2077	85.6	39.5	0	57	35.2	28.1	54.4	23.6	31.7	38.5	85.9	80.6	193.2	78.8	121.4	74	153	154.6	99.7	77.7	75.8
Stromboli	38.788	15.215	870	19.4	43.2	80.6	49.3	46	24	75	49.4	59.3	31.2	45.2	1.6	39.3	33.5	64.2	38.8	27.2	22.2	29.7	55	31.3
Etna	37.734	15.004	2711	575.3	1043.2	579	753.8	638.5	438.9	739.2	515.4	498.4	831.2	573.8	790.9	800.6	814.9	1070.9	708.9	623.9	851.5	520	338.4	592.5
Asama	36.403	138.526	2126	422.6	55.4	7	225.5	304.2	57.9	68.9	42.4	41.8	22	254.7	71.7	273.6	29.7	21.5	147.3	50.2	25.7	165.4	121.4	55.2
Miyake-jima	34.079	139.529	560	1189.1	643.5	538.4	519.9	370.7	271.6	317.8	185.5	72	73.1	37.4	0	0	0	0	0	0	0	0	0	0
Aso	32.881	131.106	1181	175.1	75.1	67.6	123.3	151.3	113.7	101	152.9	145.6	368.7	318.7	418.9	201.6	161.9	491.3	180.2	141.5	162.3	47.5	149.1	77.7
Sakura-jima	31.585	130.657	639	86.3	104.4	113.6	129.9	295.8	327.6	539.6	528.1	452.3	408.8	161.2	1	146.4	406.8	380.9	331.2	227.1	299.8	480.9	374.8	458.1
Kikai	30.789	130.308	614	166.5	201	228.9	215.5	134	142.5	207.9	257.1	226.7	272.5	252	143.5	203.9	323.5	223.5	206.4	153.7	179.7	195.7	215.5	233.4
Suwanose-jima	29.635	129.716	560	235.2	320.2	161.3	362.2	250	306.2	242.3	196.4	499.5	270.1	297.5	388.9	336.9	203.6	256.6	374.9	237	290.2	145.3	340.9	401.3
La Palma	28.615	-17.860	1200	10.4	0	0	3.2	0	0	1.1	1.2	6.5	2.3	1.7	2.7	2.1	1.4	2.8	1.7	82.1	7.8	4.4	1.1	4.2
Nishinoshima	27.250	140.874	38	4	0	0	1.1	0	0	25.4	7	9.8	334.6	228.4	7.6	89.9	10.2	35.9	598.6	126	606.1	965.2	44	0.9
Kilauea	19.420	-155.290	1222	779	629.9	589.2	2482.8	1798.6	2259.6	1101.7	1471.1	1472.2	1147.4	1312.3	1549.2	1550.4	629.3	15.4	98.7	301.1	407.9	229.7	59.3	438.1
Popocatepetl	19.023	-98.622	5100	266	278.7	380.8	332.9	262.6	381	520	1039.6	871.6	668.3	866.3	689.6	536.4	423.2	335.4	274.2	314.9	352.3	658.1	580.7	512
Pagan	18.138	145.787	570	49.1	77.5	55.1	96.1	85.2	219.6	286.4	587.5	414	300.9	32.3	17.3	3.9	5.7	8.2	6.8	62.5	50	69.3	47.9	23.5
Soufriere_Hills	16.720	-62.180	870	561.9	987.2	524	581.2	736.8	494.9	309.9	214.2	147.1	108	121.8	75.6	60.1	65.6	64.9	70.4	50.2	59.8	60.4	54.4	45.9
Anatahan	16.350	145.670	320	1337.5	1589	1225.4	989.9	16.9	0	0	5.9	0	2.1	0	0	11.3	4	9.3	4.5	5.4	2.1	13.3	1.4	8.2
Jebel_at_Tair	15.550	41.830	244	0	0	347.8	9.9	0	14.7	30	0	79.3	15.9	0	0	0	0.8	0	0.6	0.7	0	0.2	0	1.2
Santa_Maria	14.756	-91.552	3772	100.3	92.2	94.4	56.1	58.1	51.1	114.6	152.8	59.1	84.1	78.3	58.3	94.2	49.5	28.2	33.9	48.5	159.7	132.4	100.1	107.8
Mariveles	14.520	120.470	1388	23.7	36.5	13	20.9	19.2	30.2	21.9	24.1	11.1	32.3	34.8	40.6	40.5	37.9	27.5	13.9	31.2	3.1	50.4	39.7	12.6
Fuego	14.473	-90.880	3763	103.3	97.1	96.4	61.4	67.6	60.1	66.2	86.8	98.2	104.3	112.4	166.6	177.3	176.1	114.9	125.4	175	159.5	113.5	104.1	118.3
Taai	14.002	120.993	250	53.6	0	23.8	44.7	15.8	18.5	0	11.1	10.6	39.1	51.4	29.4	47.7	34.5	22.9	47.3	926.6	878.9	948.3	1155.3	265.4
Santa_Ana	13.853	-89.630	2381	208.6	47.2	8.3	4.8	0	0	0	14.2	13.9	0	19.2	35.4	17.5	32.3	32.5	28.6	36.9	47.9	22.3	20.8	29.4
Erta_Ale	13.600	40.670	613	6.9	15	27.2	19.4	11.6	18.2	18.8	19.8	10	16.3	15.6	20.3	502.1	176.4	61.1	10.4	16.2	20.4	20.2	27.1	162.5
Usulutan	13.418	-88.469	1449	11.8	0	0	0	0	0	12.2	0.5	13	107.2	78	85.4	26.9	9.3	12.6	19.2	24.7	31.3	18.4	10.1	8.7
Mayon	13.257	123.685	2462	52.8	364.2	214.5	135	291.5	252	148.1	71	73.2	109.4	40.3	59	113.5	418.3	224.1	95.4	110.1	127	277.3	132.6	95.4
